iter	Logloss
0	0.6384280251
1	0.5990296567
2	0.5660602271
3	0.5416407793
4	0.5229085122
5	0.5076213433
6	0.4955031457
7	0.4858754333
8	0.4770451119
9	0.4701348421
10	0.4641027008
11	0.4599510846
12	0.4551347445
13	0.4516974609
14	0.4490302563
15	0.4468573365
16	0.4438761993
17	0.4423744871
18	0.4404388446
19	0.4389117472
20	0.4379861921
21	0.4359414641
22	0.435109
23	0.4344767552
24	0.4329458565
25	0.4316373092
26	0.4312230298
27	0.430150952
28	0.4296547229
29	0.4287642223
30	0.4280967551
31	0.4275622204
32	0.427328703
33	0.4270599334
34	0.4264407221
35	0.4260216812
36	0.4256543117
37	0.4253545246
38	0.4250758308
39	0.4247771115
40	0.4246154707
41	0.4241980915
42	0.4238811644
43	0.4235666755
44	0.4234011175
45	0.423210722
46	0.423016674
47	0.4228408661
48	0.4227379749
49	0.4225940485
50	0.4225160581
51	0.4224351027
52	0.4222936907
53	0.4221569716
54	0.421988006
55	0.4218281664
56	0.421626424
57	0.421548483
58	0.4214151623
59	0.4212648977
60	0.4211639438
61	0.4210744171
62	0.4209903559
63	0.420838974
64	0.4207451093
65	0.4206519283
66	0.4205204123
67	0.4204344669
68	0.4203386194
69	0.4202442534
70	0.4202166904
71	0.4200999417
72	0.4200486162
73	0.4200120202
74	0.4199522617
75	0.4198764854
76	0.4197975393
77	0.4197496723
78	0.4196656276
79	0.4195865193
80	0.419469176
81	0.4193991002
82	0.41930167
83	0.4192530342
84	0.4191561694
85	0.4191041718
86	0.4190577785
87	0.4189983063
88	0.4189412061
89	0.4189002312
90	0.4188587814
91	0.4188201017
92	0.418755804
93	0.4186805313
94	0.4186297954
95	0.4185842459
96	0.4185189612
97	0.4184527985
98	0.4184131258
99	0.4183392113
100	0.4182589843
101	0.4182230498
102	0.4181593787
103	0.418098197
104	0.4180330439
105	0.4179922907
106	0.4179484855
107	0.4179097019
108	0.4178337594
109	0.4177638044
110	0.4176749985
111	0.417635035
112	0.4175929169
113	0.4175345309
114	0.4174886639
115	0.4174317015
116	0.4173790252
117	0.4173095329
118	0.4172573962
119	0.4171978405
120	0.4171422785
121	0.4170957371
122	0.4170283403
123	0.4169945681
124	0.4169320253
125	0.41687498
126	0.4168182322
127	0.4167554618
128	0.4167017744
129	0.4166272117
130	0.4165755595
131	0.416537256
132	0.4164810781
133	0.4164151886
134	0.4163553926
135	0.4162788376
136	0.4162411612
137	0.4161933618
138	0.4161453267
139	0.416078147
140	0.41600773
141	0.4159445922
142	0.4158910706
143	0.4158215927
144	0.4157553057
145	0.4156836642
146	0.4156263222
147	0.4155853305
148	0.4155217687
149	0.4154642533
150	0.4153859388
151	0.4153259383
152	0.4152892258
153	0.4152366456
154	0.4151799703
155	0.415139063
156	0.415079795
157	0.4150289794
158	0.4149764105
159	0.4149134362
160	0.4148741179
161	0.4148296564
162	0.4147743507
163	0.4147177879
164	0.4146413427
165	0.414596912
166	0.4145442286
167	0.4145074737
168	0.4144662141
169	0.4144111609
170	0.4143640851
171	0.4143161028
172	0.4142636425
173	0.4142089088
174	0.4141534835
175	0.414123154
176	0.4140685245
177	0.4140215955
178	0.4139604406
179	0.4139187423
180	0.4138550291
181	0.413805229
182	0.413748792
183	0.4136854005
184	0.4136343655
185	0.4135782881
186	0.4135294151
187	0.4134617132
188	0.4134064809
189	0.413350789
190	0.4133079224
191	0.4132491103
192	0.4132118151
193	0.4131681527
194	0.4131221375
195	0.4130766913
196	0.4130341897
197	0.4129787953
198	0.4129272101
199	0.4128877981
