iter	Passed	Remaining
0	15	3059
1	28	2833
2	42	2793
3	56	2773
4	70	2737
5	84	2726
6	98	2706
7	111	2667
8	125	2673
9	138	2639
10	152	2623
11	165	2598
12	177	2549
13	189	2515
14	201	2490
15	214	2463
16	227	2446
17	238	2414
18	251	2400
19	264	2383
20	276	2359
21	290	2347
22	301	2322
23	314	2305
24	327	2294
25	340	2281
26	352	2258
27	365	2247
28	377	2225
29	389	2204
30	401	2190
31	414	2175
32	425	2154
33	437	2134
34	449	2120
35	461	2103
36	474	2089
37	487	2076
38	499	2063
39	512	2051
40	524	2035
41	537	2023
42	551	2011
43	562	1995
44	574	1977
45	587	1965
46	599	1951
47	610	1932
48	622	1917
49	633	1900
50	645	1884
51	656	1867
52	668	1854
53	681	1841
54	692	1825
55	704	1811
56	716	1797
57	729	1785
58	741	1771
59	753	1759
60	765	1745
61	779	1734
62	791	1722
63	804	1710
64	816	1696
65	828	1681
66	840	1667
67	852	1654
68	863	1639
69	875	1626
70	886	1610
71	897	1596
72	910	1583
73	923	1572
74	935	1559
75	948	1547
76	961	1535
77	973	1522
78	985	1510
79	996	1495
80	1009	1483
81	1021	1470
82	1033	1456
83	1046	1445
84	1060	1434
85	1072	1422
86	1085	1409
87	1098	1398
88	1110	1385
89	1124	1374
90	1138	1363
91	1151	1351
92	1163	1338
93	1175	1326
94	1188	1314
95	1201	1301
96	1213	1288
97	1226	1276
98	1238	1263
99	1251	1251
100	1263	1238
101	1276	1226
102	1288	1213
103	1300	1200
104	1313	1188
105	1326	1176
106	1337	1162
107	1349	1149
108	1362	1137
109	1375	1125
110	1388	1113
111	1400	1100
112	1413	1088
113	1424	1074
114	1436	1061
115	1448	1048
116	1460	1036
117	1473	1023
118	1486	1011
119	1502	1001
120	1518	991
121	1534	980
122	1551	971
123	1568	961
124	1585	951
125	1602	940
126	1618	930
127	1634	919
128	1648	907
129	1662	895
130	1674	881
131	1687	869
132	1699	856
133	1711	843
134	1725	830
135	1738	817
136	1749	804
137	1761	791
138	1774	778
139	1786	765
140	1798	752
141	1811	739
142	1822	726
143	1835	713
144	1847	700
145	1860	688
146	1873	675
147	1885	662
148	1896	649
149	1909	636
150	1923	624
151	1935	611
152	1947	598
153	1958	585
154	1971	572
155	1984	559
156	1996	546
157	2007	533
158	2020	520
159	2033	508
160	2044	495
161	2056	482
162	2069	469
163	2081	456
164	2094	444
165	2106	431
166	2119	418
167	2132	406
168	2145	393
169	2157	380
170	2170	368
171	2183	355
172	2195	342
173	2208	329
174	2220	317
175	2233	304
176	2246	291
177	2259	279
178	2272	266
179	2284	253
180	2296	241
181	2308	228
182	2320	215
183	2333	202
184	2346	190
185	2358	177
186	2371	164
187	2384	152
188	2397	139
189	2409	126
190	2421	114
191	2434	101
192	2447	88
193	2460	76
194	2472	63
195	2485	50
196	2497	38
197	2510	25
198	2523	12
199	2535	0
